symbol,name,sector,start_date,end_date
A,Agilent Technologies,Health Care,1976-07-01,
AA,Alcoa,,1976-07-01,2016-11-01
AAL,American Airlines Group,,2015-03-23,2024-09-23
AAP,Advance Auto Parts,,2015-07-08,2023-08-25
AAPL,Apple Inc.,Information Technology,1976-07-01,
ABBV,AbbVie,Health Care,2013-01-02,
ABK,Ambac Financial,,2000-12-05,2008-06-10
ABMD,Abiomed,,2018-05-31,2022-12-22
ABNB,Airbnb,Consumer Discretionary,2023-09-18,
ABS,Albertsons,,1976-07-01,2006-06-02
ABT,Abbott Laboratories,Health Care,1976-07-01,
ACAS,American Capital,,1976-07-01,2009-03-03
ACE,Chubb,,1976-07-01,2016-01-19
ACGL,Arch Capital Group,Financials,2022-11-01,
ACN,Accenture,Information Technology,2011-07-05,
ACT,Actavis,,1999-04-12,
ADBE,Adobe Inc.,Information Technology,1976-07-01,
ADCT,ADC Telecommunications,,1976-07-01,2007-07-02
ADI,Analog Devices,Information Technology,1976-07-01,
ADM,Archer Daniels Midland,Consumer Staples,1976-07-01,
ADP,Automatic Data Processing,Industrials,1976-07-01,
ADS,Alliance Data Systems,,2013-12-23,2020-06-22
ADSK,Autodesk,Information Technology,1976-07-01,
ADT,ADT,,2012-10-01,2016-05-03
AEE,Ameren,Utilities,1976-07-01,
AEP,American Electric Power,Utilities,1976-07-01,
AES,AES Corporation,Utilities,1976-07-01,
AET,Aetna,,1976-07-01,2018-12-03
AFL,Aflac,Financials,1976-07-01,
AGN,Allergan,,1976-07-01,2015-03-23
AGN,Allergan,,1976-07-01,2020-05-12
AIG,American International Group,Financials,1976-07-01,
AIV,Apartment Investment & Management,,1976-07-01,2020-12-21
AIZ,Assurant,Financials,1976-07-01,
AJG,Arthur J. Gallagher & Co.,Financials,2016-05-31,
AKAM,Akamai Technologies,Information Technology,1976-07-01,
AKS,AK Steel,,2008-07-01,2011-12-16
ALB,Albemarle Corporation,Materials,2016-07-01,
ALGN,Align Technology,Health Care,2017-06-19,
ALK,Alaska Air Group,,2016-05-13,2023-12-18
ALL,Allstate,Financials,1976-07-01,
ALLE,Allegion,Industrials,2013-12-02,
ALTR,Altera,,1976-07-01,2015-12-29
ALXN,Alexion Pharmaceuticals,,2012-05-21,2021-07-21
AMAT,Applied Materials,Information Technology,1976-07-01,
AMCR,Amcor,Materials,2019-06-11,
AMD,Advanced Micro Devices,Information Technology,1976-07-01,2013-09-20
AMD,Advanced Micro Devices,Information Technology,2017-03-20,
AME,Ametek,Industrials,2013-09-20,
AMG,Affiliated Managers Group,,2014-07-01,2019-12-23
AMGN,Amgen,Health Care,1976-07-01,
AMP,Ameriprise Financial,Financials,1976-07-01,
AMT,American Tower,Real Estate,1976-07-01,
AMTM,Amentum,,2024-09-30,2024-12-23
AMZN,Amazon,Consumer Discretionary,2005-11-18,
AN,Amoco,,1976-07-01,2017-08-08
AN,Amoco,,1976-07-01,1998-12-11
ANDV,Andeavor,,1976-07-01,2018-10-01
ANET,Arista Networks,Information Technology,2018-08-28,
ANF,Abercrombie & Fitch,,1976-07-01,2013-12-23
ANR,Alpha Natural Resources,,2011-06-01,2012-10-02
ANSS,Ansys,,2017-06-19,2025-07-18
AON,Aon plc,Financials,1976-07-01,
AOS,A. O. Smith,Industrials,2017-07-26,
APA,APA Corporation,Energy,1976-07-01,
APC,Anadarko Petroleum,,1976-07-01,2019-08-09
APD,Air Products,Materials,1976-07-01,
APH,Amphenol,Information Technology,1976-07-01,
